,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,7.000000000000008,7.000000000000008,7.000000000000008,[118.49940495   1.81227389],[111.49940497   1.8116893 ],[104.499405     1.81110471],[97.49940502  1.81052012]
1,7.000000024411422,7.000000024411422,6.999923730436333,[118.49638367   1.81227231],[111.49638367   1.81168771],[104.49638367   1.81110311],[97.49645996  1.81051886]
2,7.000000024411422,7.000000024411422,6.998786950645044,[118.48202515   1.81227124],[111.48202515   1.81168664],[104.48202515   1.81110203],[97.48323822  1.81051791]
3,7.000000024411422,7.000000024411422,6.996833825881582,[118.44972229   1.81227136],[111.44972229   1.81168675],[104.44972229   1.81110215],[97.45288849  1.81051528]
4,7.000000024411422,7.000000024411422,6.994758630416915,[118.39665222   1.81226838],[111.39665222   1.81168377],[104.39665222   1.81109917],[97.40189362  1.81051421]
5,7.000000024411422,7.000000024411422,6.992599511325567,[118.32215881   1.81226468],[111.32215881   1.81168008],[104.32215881   1.81109548],[97.32955933  1.81051588]
6,7.00000002442138,7.000000024411422,6.990379356876073,[118.22574615   1.81226039],[111.22574615   1.81167567],[104.22574615   1.81109107],[97.23536682  1.81051934]
7,7.0000000244512615,7.000000024411422,6.988136314089195,[118.10727692   1.81225419],[111.10727692   1.81166911],[104.10727692   1.81108451],[97.11914062  1.81052268]
8,7.000000024461227,7.000000024411422,6.985870382990723,[117.96658325   1.81224597],[110.96658325   1.81166077],[103.96658325   1.81107616],[96.98071289  1.81052601]
9,7.000000024461227,7.000000024411422,6.983573934223335,[117.8033371    1.81223512],[110.8033371    1.81164992],[103.8033371    1.81106532],[96.81976318  1.81052828]
10,7.000000024491134,7.000000024411422,6.9812317089881,[117.61722565   1.81222117],[110.61722565   1.81163561],[103.61722565   1.81105101],[96.63599396  1.81052876]
11,7.000000024521058,7.000000024411422,6.978889483696448,[117.40799713   1.81220341],[110.40799713   1.81161749],[103.40799713   1.81103289],[96.42910767  1.81052661]
12,7.000000024541018,7.000000024411422,6.976516740786633,[117.17533875   1.81218112],[110.17533875   1.81159496],[103.17533875   1.81101036],[96.19882202  1.81052113]
13,7.000000024551001,7.000000024411422,6.974113480267675,[116.91899109   1.81215358],[109.91899109   1.81156731],[102.91899109   1.8109827 ],[95.94487762  1.81051159]
14,7.000007653965947,6.999992395016449,6.971694960960056,[116.63869476   1.8121202 ],[109.63868713   1.81153369],[102.63869476   1.81094909],[95.66699982  1.81049681]
15,7.000007654004907,6.999992395017458,6.969245924085974,[116.33417511   1.81208038],[109.33416748   1.8114934 ],[102.33417511   1.81090879],[95.3649292   1.81047595]
16,7.000007654025913,6.999992395026405,6.966789257864983,[116.00519562   1.81203294],[109.00518799   1.81144571],[102.00519562   1.81086099],[95.03840637  1.81044769]
17,7.000007654044923,6.9999923950274,6.964286815336856,[115.65149689   1.81197762],[108.65148926   1.81139016],[101.65149689   1.81080544],[94.68721008  1.81041157]
18,7.00000765407594,6.999992395026405,6.961769114131544,[115.27285767   1.81191409],[108.27285004   1.81132627],[101.27285767   1.81074154],[94.31108856  1.81036603]
19,7.000007654104972,6.999992395027414,6.959228524844628,[114.86904144   1.81184149],[107.86903381   1.81125331],[100.86904144   1.81066859],[93.90981293  1.81031036]
20,7.00000765415508,6.999992395027414,6.956665047493037,[114.43984222   1.81176007],[107.43983459   1.81117129],[100.43984222   1.81058657],[93.48317719  1.81024408]
21,7.000007654196213,6.999992395026704,6.954071052665871,[113.98503113   1.81166887],[106.9850235    1.81107962],[99.98503113  1.8104949 ],[93.03096008  1.81016672]
22,7.000007654216287,6.999992395036663,6.951477057986343,[113.50444794   1.8115685 ],[106.50444031   1.81097901],[99.50444794  1.81039417],[92.55297089  1.81007767]
23,7.000007654236368,6.999992395036663,6.948722846177848,[112.99772644   1.81145978],[105.99771881   1.81087005],[98.99772644  1.81028521],[92.0490036   1.80997729]
24,7.000007654256458,6.999992395026405,6.945800787870672,[112.46533203   1.81134295],[105.4653244    1.81075299],[98.46533203  1.81016827],[91.51953125  1.809865  ]
25,7.0000076542353735,6.99999239504732,6.943397528538413,[111.90686798   1.81121945],[104.90686035   1.81062973],[97.90686798  1.81004477],[90.96347046  1.80974281]
26,7.000007654225318,6.999992395047235,6.941467291859451,[111.32167816   1.81108749],[104.32167053   1.81049788],[97.32167816  1.80991292],[90.38021088  1.80960786]
27,7.0000076542263265,6.999992395046723,6.939979560245381,[110.70960999   1.81094933],[103.70960236   1.81035972],[96.70960999  1.80977476],[89.76963043  1.80946255]
28,7.000007654196213,6.999992395046823,6.938941963142315,[110.07056427   1.81080723],[103.07055664   1.81021798],[96.07056427  1.80963302],[89.13162231  1.80930877]
29,7.000007654155095,6.9999923950470215,6.938255318423564,[109.40437317   1.81066322],[102.40436554   1.81007445],[95.40437317  1.80948949],[88.46611786  1.80914879]
30,7.000007654135045,6.9999923950470215,6.937950143667413,[108.71101379   1.81051958],[101.71100616   1.80993104],[94.71101379  1.80934608],[87.77306366  1.80898511]
31,7.000007654085952,6.999992395056487,6.9379425155609376,[107.99030304   1.81037772],[100.99029541   1.80978978],[93.99030304  1.8092047 ],[87.05236053  1.80881977]
32,7.000007654035914,6.999992395066751,6.938209545894905,[107.24219513   1.81023967],[100.2421875    1.80965233],[93.24219513  1.80906713],[86.3039856   1.80865562]
33,7.00000765398543,6.999992395066651,6.938728346493067,[106.46656799   1.81010747],[99.46656036  1.80952072],[92.46656799  1.80893552],[85.52783966  1.80849516]
34,7.000007653945477,6.999992395066651,6.939231888486291,[105.66334534   1.80998385],[98.66333771  1.80939758],[91.66334534  1.80881238],[84.72411346  1.80834222]
35,7.000007653885296,6.9999923950567995,6.939727801195547,[104.83246613   1.80987084],[97.8324585   1.80928528],[90.83246613  1.8087002 ],[83.89273834  1.80820048]
36,7.000007653885609,6.999992395056785,6.940223713939746,[103.97387695   1.80976915],[96.97386932  1.8091836 ],[89.97387695  1.80859852],[83.03365326  1.80807042]
37,7.000007653835661,6.9999923950567995,6.940734885483555,[103.0875473    1.80967796],[96.08753967  1.809093  ],[89.0875473   1.80850792],[82.14681244  1.80795276]
38,7.0000076538056994,7.0000000244512615,6.941246056863335,[102.17338562   1.8095969 ],[95.17337799  1.80901229],[88.17337799  1.80842721],[81.23213196  1.80784822]
39,7.000007653795844,7.000000024441299,6.941757228004658,[101.23136139   1.80952573],[94.23135376  1.80894125],[87.23135376  1.80835629],[80.28959656  1.80775714]
40,7.000007653775941,7.000000024431338,6.942276028227823,[100.26139069   1.80946243],[93.26138306  1.80887818],[86.26138306  1.80829334],[79.31910706  1.80767822]
41,7.0000076537760405,7.00000002442138,6.942794828055844,[99.26350403  1.80940592],[92.2634964   1.80882168],[85.2634964   1.80823696],[78.3207016   1.80761063]
42,7.0000076537760405,7.000000024411422,6.94330599806016,[98.2375946   1.80935335],[91.23758698  1.80876911],[84.23758698  1.8081845 ],[77.29428101  1.80755186]
43,7.000007653776026,7.000000024411422,6.943824797082047,[97.18366241  1.80930305],[90.18365479  1.8087188 ],[83.18365479  1.8081342 ],[76.23983002  1.80749941]
44,7.0000076537760405,7.000000024411422,6.944343595733785,[96.10173798  1.80925155],[89.10173035  1.8086673 ],[82.10173035  1.8080827 ],[75.15738678  1.80744982]
45,7.000007653785992,7.000000024411422,6.944839505868003,[94.99175262  1.80919659],[87.991745    1.80861223],[80.991745    1.80802763],[74.04690552  1.80740035]
46,7.000007653766092,7.000000024411422,6.945358303977203,[93.85379028  1.80913556],[86.85378265  1.80855143],[79.85378265  1.80796683],[72.90842438  1.80734754]
47,7.00000765377614,7.000000024411422,6.94587710193858,[92.68778229  1.80906701],[85.68777466  1.80848277],[78.68777466  1.80789816],[71.74189758  1.80728865]
48,7.000007653785992,7.000000024411422,6.946373011689151,[91.49380493  1.80898941],[84.4937973   1.80840504],[77.4937973   1.80782044],[70.54742432  1.80722117]
49,7.000007653785992,7.000000024411422,6.946884180324971,[90.27181244  1.80890203],[83.27180481  1.80831766],[76.27180481  1.80773306],[69.32492065  1.80714309]
50,7.0000076537859774,7.000007653805998,6.9473953490631075,[89.02191925  1.80880499],[82.02191162  1.80822062],[75.02190399  1.80763602],[68.07450867  1.80705428]
51,7.000007653785992,7.000007653805884,6.947891259150226,[87.74404907  1.80869853],[80.74404144  1.80811417],[73.74403381  1.80752957],[66.79614258  1.8069545 ]
52,7.000007653805898,7.000007653805884,6.948402428257603,[86.43826294  1.80858457],[79.43825531  1.80799997],[72.43824768  1.80741537],[65.48984528  1.80684423]
53,7.000007653815856,7.000007653805884,6.948921226937225,[85.10469055  1.80846441],[78.10468292  1.80787969],[71.10467529  1.80729508],[64.15575409  1.80672574]
54,7.000007653815955,7.000007653805884,6.9494362110956,[83.7432785   1.80833995],[76.74327087  1.80775523],[69.74326324  1.80717063],[62.79382706  1.80660093]
55,7.015411398796573,7.000007653805884,6.949947380713617,[82.36948395  1.808182  ],[75.35407257  1.80762839],[68.35406494  1.80704379],[61.40411758  1.80647182]
56,7.057724032078313,7.000007653805898,6.950458550450471,[80.99486542  1.80818462],[73.93714142  1.80750155],[66.93713379  1.80691695],[59.98667526  1.80634129]
