,point.objects.object0.color[0],point.objects.object0.color[1],point.objects.object0.color[2],point.objects.object1.color[0],point.objects.object1.color[1],point.objects.object1.color[2],point.objects.object2.color[0],point.objects.object2.color[1],point.objects.object2.color[2],point.objects.object3.color[0],point.objects.object3.color[1],point.objects.object3.color[2],point.params.BRAKE_INTENSITY,point.params.TIME_DELAY,rho
0,0.8477342182983548,0.5233399947817411,0.47091352210636483,1.0,1.0,1.0,0.197583898017309,0.17354049939618527,0.17058348765543288,0.10827000731632144,0.10827000731632144,0.10827000731632144,0.8637497776599761,9.956031636759178,1.0
1,0.7068642460612167,0.666847305538844,0.6649637736986524,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.9128168902099674,0.9121560436581435,0.873701888553684,0.8550063586227378,14.690215719672336,1.0
2,0.41201514989901705,0.41201514989901705,0.41201514989901705,0.797762262925811,0.6894584680212363,0.25122278101327744,0.5949118500744608,0.5261977389816312,0.5261977389816312,0.7864553111984347,0.7864553111984347,0.7864553111984347,0.17772691106878535,13.300456527097253,1.0
3,0.34909662230392086,0.34909662230392086,0.34909662230392086,0.7757626938278641,0.42097256574625974,0.2632293966250443,0.8856031786077107,0.8856031786077107,0.8856031786077107,0.11885416893685115,0.07784865085326013,0.07784865085326013,0.07204153983355222,13.598623810091672,1.0
4,0.2910398624937801,0.2910398624937801,0.2910398624937801,1.0,1.0,1.0,0.0,0.0,0.0,0.1941993813260603,0.1941993813260603,0.1941993813260603,0.6668309788741456,13.986933361207106,1.0
5,0.6603661620145463,0.25516747999413725,0.25516747999413725,0.9594889143873302,0.9586773663853879,0.9586504712605506,0.6791640013974801,0.2612628703264813,0.2612628703264813,0.9623226609017124,0.9535417007891545,0.9535417007891545,0.0318991556132282,5.890906666474894,1.0
6,0.5495102881766958,0.431136316648463,0.4165575399066157,0.9537163086987293,0.9523478917627217,0.9504480100025019,0.9471369715679685,0.9361965748335549,0.9280821665845613,1.0,1.0,1.0,0.5387398964960399,5.781911495007775,1.0
7,0.2843511241391272,0.23076587986761932,0.23076587986761932,0.3972863466432545,0.3972863466432545,0.3972863466432545,0.7141749727571457,0.7141749727571457,0.7141749727571457,1.0,1.0,1.0,0.5360389162312525,10.980952984417057,1.0
8,0.1869564201470833,0.1869564201470833,0.1869564201470833,0.8908656277080537,0.863536231048787,0.863536231048787,0.2780496254726911,0.23557073795114658,0.23557073795114658,0.6944097404192875,0.6897729896469129,0.6430641202604319,0.8878347458807889,7.716808473926967,1.0
9,0.6197974164899762,0.6197974164899762,0.6197974164899762,0.545381402097283,0.545381402097283,0.545381402097283,0.8443161899398378,0.549637704813265,0.18959875053199615,0.3740134587410434,0.3740134587410434,0.3740134587410434,0.35593336653474317,14.446965368706477,1.0
10,0.5436972795011065,0.5436972795011065,0.5436972795011065,0.6621091393564478,0.6621091393564478,0.6621091393564478,0.7948832597603265,0.7799559626482182,0.7475261684968927,0.975065983311305,0.975065983311305,0.975065983311305,0.059616370888011305,10.51673072316226,1.0
11,0.479597898452064,0.6588878694007366,0.5724658620514876,0.9538029420580261,0.9538029420580261,0.9538029420580261,0.7877829285996073,0.8260097153637525,0.5478772739430307,0.2946805178301003,0.2946805178301003,0.2946805178301003,0.03532539814178137,6.296629396827659,1.0
12,0.9291203776619822,0.8173724904870633,0.6798113721841584,0.7675323650929186,0.5109605621083909,0.49907036224199774,0.7307081608768586,0.36241702092132,0.36241702092132,0.2959478625803551,0.2959478625803551,0.2959478625803551,0.6399658299437687,14.96002469203393,1.0
13,0.004935056169993632,0.004360748461558253,0.004360748461558253,0.8941397258085327,0.89285315658459,0.89285315658459,0.3289339018673194,0.5107860198716074,0.6635520146651602,0.47154660078528,0.427945272108998,0.427945272108998,0.38386185763329495,14.253838568682166,1.0
14,0.7456638348674186,0.6399059912448795,0.3603411981924064,1.0,1.0,1.0,0.7813881640081987,0.7858837898920777,0.7669690392047389,0.47852543958493815,0.47852543958493815,0.47852543958493815,0.11229609798617901,6.714052333616482,1.0
15,0.30956963661555803,0.2561918935716313,0.2468846782503028,0.9360570573020939,0.936690647749805,0.9358751772689139,0.929052099750829,0.9267352855243395,0.9265221493330865,0.8740309373763187,0.8740309373763187,0.8740309373763187,0.5710538449796332,11.138405017202336,1.0
16,1.0,1.0,1.0,0.779171005189248,0.7255562069075585,0.701643090564344,0.23942734277324718,0.23942734277324718,0.23942734277324718,0.7665726854266035,0.8706065311173343,0.6153395590305888,0.05688197791370364,5.54944790728361,1.0
17,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,0.26035749974433364,0.20103535951112128,0.20103535951112128,0.15816848775900771,5.001338513934193,1.0
18,0.8717282037051672,0.41252105574789943,0.39062490902317526,0.5402861604773618,0.465260223626122,0.4166130639060287,0.8979875734345124,0.8979875734345124,0.8979875734345124,0.4096789796737874,0.5671086549977549,0.6515536833217228,0.2925143146606596,8.723018719570641,1.0
19,0.7803452231392485,0.7598058231830643,0.7386283684622701,0.20403245168051895,0.20403245168051895,0.20403245168051895,0.7340173357767752,0.6472769819541118,0.6033675872053925,0.8770557219464283,0.9130471214862119,0.3987206244489727,0.5636325509653222,6.665138165059325,1.0
20,0.8107580880156242,0.3868097095992722,0.3868097095992722,0.9578024764466707,0.955667357398534,0.955667357398534,0.255542339177142,0.22979363553845097,0.19540019716191204,0.6684588587078724,0.6335288793720413,0.6335288793720413,0.4717305450587792,5.959136306082268,1.0
21,0.9276699814523487,0.9244267093336053,0.9244267093336053,0.7886334329918411,0.7886334329918411,0.7886334329918411,0.9189567856438956,0.9189567856438956,0.9189567856438956,0.9876109604725345,0.9876109604725345,0.9876109604725345,0.047920897185615874,11.318277873247293,1.0
22,0.932673826851681,0.9305710052224432,0.9281713892692123,0.7886918976273746,0.644371791040624,0.644371791040624,0.9586457719134647,0.9533390509636692,0.950898880126084,0.8746935010158171,0.8336942517502332,0.8336942517502332,0.8244900522316851,7.2950289449820795,1.0
23,0.9771887359270092,0.9771650293404485,0.9771376430691426,0.9608168366317795,0.9495762094343876,0.9469577762642893,0.8496183931192393,0.8577136393979989,0.8370350043356627,0.3548328318562144,0.676321981395579,0.6671046960794254,0.08283145975083583,6.138141199039406,1.0
24,0.7219383570574209,0.5311081172951818,0.5099674947115274,0.027145420222035734,0.02709753744443771,0.027048379255470677,0.22118936260832964,0.22118936260832964,0.22118936260832964,0.15204235954833395,0.15204235954833395,0.15204235954833395,0.6339882375775235,5.5929975966040315,1.0
25,0.6507221740174355,0.6507221740174355,0.6507221740174355,0.5781450483727701,0.5768160746834672,0.5766845038486446,1.0,1.0,1.0,0.9124632356690457,0.9124632356690457,0.9124632356690457,0.4518187696622691,8.893365632614284,1.0
26,0.20234113071330398,0.20234113071330398,0.20234113071330398,0.2898597026186067,0.2828921757871884,0.2828921757871884,0.8600551107546162,0.9217996396610935,0.6722041977048518,0.16441974892160638,0.15813191302742058,0.15813191302742058,0.19858641030837243,10.368264193678241,1.0
27,0.8061214831464741,0.8061214831464741,0.8061214831464741,0.5812095281817237,0.20909251852044144,0.19674953592692057,0.22821114934649017,0.22821114934649017,0.22821114934649017,0.25265905328857874,0.2163521076623926,0.2163521076623926,0.5819229398695999,6.247517044169339,1.0
28,0.7373020719600314,0.40267630502771756,0.40267630502771756,0.5999756220506056,0.5946076415659238,0.5925545365888596,0.9999999999999999,0.9999999999999999,1.0,0.6703540151923204,0.6278218597608367,0.6278218597608367,0.10831608481346267,7.141419698043254,1.0
29,1.0,1.0,1.0,0.9098250311493495,0.9098250311493495,0.9098250311493495,0.5090196053107414,0.5090196053107414,0.5090196053107414,0.11401265539592081,0.07944082911735825,0.07944082911735825,0.13170777368948572,5.785947244300159,1.0
30,0.1357175662436178,0.11566418926706673,0.11566418926706673,0.8024231384628009,0.5733803377427741,0.4976841065797295,0.6403548008153633,0.5994007360897115,0.5443724935958952,1.0,1.0,1.0,0.6029457882173465,6.669623996870806,1.0
31,0.6164537953455516,0.8397343075671673,0.5892447628340247,1.0,1.0,1.0,0.7479457185288958,0.7479457185288958,0.7479457185288958,0.3747379801932168,0.3747379801932168,0.3747379801932168,0.072092743210464,10.187584351043066,1.0
32,0.019740532867448174,0.019740532867448174,0.019740532867448174,0.19523589757542661,0.17914750778538693,0.17914750778538693,0.29435194234240813,0.29435194234240813,0.29435194234240813,0.7064036988563362,0.505275915671279,0.2605803018657832,0.3901115504155094,7.85397003004348,1.0
33,0.2904615985029966,0.39120566259136363,0.4789271322124943,0.586734299377768,0.5302857257366358,0.4987727416936789,0.7204310775066715,0.7204310775066715,0.7204310775066715,1.0,1.0,1.0,0.8654047896160968,5.3612617064552195,1.0
34,0.7664812760811588,0.4123724871026988,0.4123724871026988,0.23875806192496912,0.4838429211897491,0.2949659136169013,0.8353349677500522,0.7877710250779358,0.7877710250779358,0.2796413099656509,0.2796413099656509,0.2796413099656509,0.7056219024702112,8.666797690352965,1.0
35,0.0954384122220682,0.0954384122220682,0.0954384122220682,0.4663328056839695,0.4663328056839695,0.4663328056839695,0.6667103544611709,0.8827365339552731,0.41622603309620687,0.5401904582903931,0.5401904582903931,0.5401904582903931,0.9629838425255369,12.484063657070497,1.0
36,0.7237967333221526,0.7653556198073842,0.6955141267429946,0.49694077807628834,0.49694077807628834,0.49694077807628834,0.18888093668437667,0.18206505720306526,0.18206505720306526,0.6781115061326021,0.7862128375652768,0.4145141149189462,0.7407070852079508,11.478631653311943,1.0
