,c1_c0,c0_c2,c2_c3,p1,p2,p3,p4
0,7.000000000000008,7.000000000000008,7.000000000000008,[111.49940497   1.8116893 ],[118.49940495   1.81227389],[104.499405     1.81110471],[97.49940502  1.81052012]
1,7.000000024411422,7.000000024411422,6.999923730436333,[111.49638367   1.81168771],[118.49638367   1.81227231],[104.49638367   1.81110311],[97.49645996  1.81051886]
2,7.000000024411422,7.000000024411422,6.998786950645044,[111.48202515   1.81168664],[118.48202515   1.81227124],[104.48202515   1.81110203],[97.48323822  1.81051791]
3,7.000000024411422,7.000000024411422,6.996482873465167,[111.44982147   1.81168687],[118.44982147   1.81227148],[104.44982147   1.81110227],[97.45333862  1.81051862]
4,7.000000024411422,7.000000024411422,6.99436953070235,[111.39674377   1.81168902],[118.39674377   1.81227362],[104.39674377   1.81110442],[97.40237427  1.81052661]
5,7.000000024411422,7.000000024411422,6.992057822645345,[111.32235718   1.81168652],[118.32235718   1.81227112],[104.32235718   1.81110191],[97.33029938  1.81054282]
6,7.000000024411422,7.000000024411422,6.989700337886312,[111.22619629   1.81168067],[118.22619629   1.81226528],[104.22619629   1.81109607],[97.23649597  1.8105607 ]
7,7.000000024411422,7.000000024411422,6.98735048221775,[111.10799408   1.81167269],[118.10799408   1.81225729],[104.10799408   1.81108809],[97.12064362  1.81058168]
8,7.000000024411422,7.000000024411422,6.98496247937115,[110.96755981   1.81166232],[117.96755981   1.81224692],[103.96755981   1.81107771],[96.98259735  1.81060505]
9,7.000000024411422,7.000000024411422,6.982543958825322,[110.80458069   1.8116492 ],[117.80458069   1.81223381],[103.80458069   1.8110646 ],[96.82203674  1.8106302 ]
10,7.000000024411422,7.000000024411422,6.9801025500537675,[110.61875916   1.81163263],[117.61875916   1.81221724],[103.61875916   1.81104803],[96.63865662  1.81065631]
11,7.000000024411422,7.000000024411422,6.977638253152032,[110.4098053    1.81161189],[117.4098053    1.81219649],[103.4098053    1.81102729],[96.43216705  1.81068242]
12,7.000000024411422,7.000000024411422,6.975135809467492,[110.17742157   1.81158662],[117.17742157   1.81217122],[103.17742157   1.81100202],[96.20228577  1.81070685]
13,7.000000024411422,7.000000024411422,6.972602848445577,[109.92134857   1.81155562],[116.92134857   1.81214023],[102.92134857   1.81097102],[95.94874573  1.81072879]
14,7.000000024411422,7.000000024411422,6.970039370201508,[109.6413269    1.81151879],[116.6413269    1.81210339],[102.6413269    1.81093419],[95.67128754  1.81074655]
15,7.000000024411422,7.000000024411422,6.967445374782361,[109.33708954   1.81147528],[116.33708954   1.81205988],[102.33708954   1.81089067],[95.36964417  1.81075883]
16,7.000000024411422,7.000000024411422,6.964828491625054,[109.0083847    1.81142437],[116.0083847    1.81200898],[102.0083847    1.81083977],[95.04355621  1.81076384]
17,7.000000024411422,7.000000024411422,6.962188720734053,[108.65497589   1.8113656 ],[115.65497589   1.81195021],[101.65497589   1.810781  ],[94.69278717  1.81076014]
