,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,7.000000000000008,7.000000000000008,7.000000000000008,[118.49940495   1.81227389],[111.49940497   1.8116893 ],[104.499405     1.81110471],[97.49940502  1.81052012]
1,7.000000024411422,7.000000024411422,6.999923730436333,[118.49638367   1.81227231],[111.49638367   1.81168771],[104.49638367   1.81110311],[97.49645996  1.81051886]
2,7.000000024411422,7.000000024411422,6.99880983879862,[118.48191071   1.81227136],[111.48191071   1.81168675],[104.48191071   1.81110215],[97.48310089  1.81051838]
3,7.000000024411422,7.000000024411422,6.996536278988705,[118.44967651   1.81226861],[111.44967651   1.81168401],[104.44967651   1.81109941],[97.45314026  1.81051862]
4,7.000000024411422,7.000000024411422,6.993774437577932,[118.39619446   1.81226349],[111.39619446   1.81167889],[104.39619446   1.81109428],[97.40242004  1.81052077]
5,7.000000024411422,7.000000024411422,6.990867637697457,[118.32146454   1.81225777],[111.32146454   1.81167316],[104.32146454   1.81108856],[97.33059692  1.81052208]
6,7.000000024411422,7.000000024411422,6.987884543888467,[118.22489929   1.81225204],[111.22489929   1.81166744],[104.22489929   1.81108284],[97.23701477  1.81052327]
7,7.000000024411422,7.000000024411422,6.984878561742068,[118.10627747   1.81224418],[111.10627747   1.81165957],[104.10627747   1.81107497],[97.12139893  1.81052434]
8,7.000000024411422,7.000000024411422,6.981857320725792,[117.96543121   1.81223416],[110.96543121   1.81164956],[103.96543121   1.81106496],[96.98357391  1.81052446]
9,7.000000024411422,7.000000024411422,6.9787826738261405,[117.80202484   1.81222105],[110.80202484   1.81163645],[103.80202484   1.81105185],[96.82324219  1.81052327]
10,7.000000024411422,7.000000024411422,6.975662250498797,[117.61575317   1.81220472],[110.61575317   1.81162012],[103.61575317   1.81103551],[96.64009094  1.81051993]
11,7.0000000244014675,7.000000024411422,6.972511309539734,[117.40635681   1.81218445],[110.40635681   1.81159997],[103.40635681   1.81101537],[96.43384552  1.81051385]
12,7.000000024411422,7.000000024411422,6.969322221544956,[117.17352295   1.81215942],[110.17352295   1.81157482],[103.17352295   1.81099021],[96.20420074  1.81050408]
13,7.000000024411422,7.000000024411422,6.966102615940214,[116.91699982   1.8121289 ],[109.91699982   1.8115443 ],[102.91699982   1.8109597 ],[95.95089722  1.81048989]
14,7.000000024411422,7.000000024411422,6.962852492755127,[116.63652039   1.81209254],[109.63652039   1.81150794],[102.63652039   1.81092334],[95.67366791  1.81047046]
15,7.000007653795446,7.000000024411422,6.959556593229226,[116.33183289   1.81204939],[109.33182526   1.81146491],[102.33182526   1.8108803 ],[95.37226868  1.81044459]
16,7.000007653795432,7.000000024411422,6.956237805560406,[116.00266266   1.81199932],[109.00265503   1.81141484],[102.00265503   1.81083024],[95.04641724  1.81041169]
17,7.000007653795432,7.000000024411422,6.952888500368774,[115.64878845   1.81194127],[108.64878082   1.81135678],[101.64878082   1.81077218],[94.69589233  1.81037056]
18,7.000007653795432,7.000000024411422,6.949508677665978,[115.26996613   1.81187475],[108.2699585    1.81129026],[101.2699585    1.81070566],[94.32044983  1.8103205 ]
19,7.000007653796441,7.000000024411422,6.946105966848537,[114.8659668    1.81179929],[107.86595917   1.8112148 ],[100.86595917   1.8106302 ],[93.91985321  1.81026089]
20,7.000007653795446,7.000000024411422,6.942649850397502,[114.43656921   1.81171513],[107.43656158   1.81113064],[100.43656158   1.81054604],[93.49391174  1.8101908 ]
21,7.000007653786489,7.000000024411422,6.93917847529592,[113.98156738   1.8116219 ],[106.98155975   1.81103754],[99.98155975  1.81045294],[93.04238129  1.8101095 ]
22,7.000007653796441,7.000000024411323,6.935676582733251,[113.50075531   1.81151986],[106.50074768   1.81093538],[99.50074768  1.81035078],[92.56507111  1.81001711]
23,7.000007653786489,7.000000024411223,6.932113655161914,[112.99382019   1.81140995],[105.99381256   1.81082559],[98.99381256  1.81024098],[92.06169891  1.80991423]
24,7.000007653785494,7.00000002441192,6.928749092026218,[112.4611969    1.81129253],[105.46118927   1.81070817],[98.46118927  1.81012356],[91.53244019  1.80980003]
25,7.000007653785494,7.00000002441182,6.925125129639013,[111.90250397   1.81116903],[104.90249634   1.81058466],[97.90249634  1.81000006],[90.97737122  1.80967629]
26,7.00000765378548,7.000000024411621,6.921455391019217,[111.31708527   1.81103778],[104.31707764   1.81045341],[97.31707764  1.80986881],[90.39562225  1.80954194]
27,7.00000765378548,7.000000024411834,6.917770393766128,[110.7048645    1.81090093],[103.70485687   1.81031656],[96.70485687  1.80973196],[89.78708649  1.80939877]
28,7.00000765376558,7.000000024411621,6.914085396725317,[110.06562042   1.81076121],[103.06561279   1.81017709],[96.06561279  1.80959249],[89.1515274   1.80924881]
29,7.000007653765595,7.00000002441192,6.910377511701608,[109.39918518   1.81062031],[102.39917755   1.81003618],[95.39917755  1.80945158],[88.48880005  1.80909383]
30,7.000015283160568,7.000000024411323,6.906639109322705,[108.70548248   1.81048012],[101.70546722   1.80989599],[94.70546722  1.80931139],[87.79882812  1.808936  ]
31,7.000015283150607,7.000000024411834,6.902908336541076,[107.98441315   1.81034231],[100.98439789   1.80975831],[93.98439789  1.8091737 ],[87.08148956  1.80877793]
32,7.0000152831406774,7.00000002441192,6.8991699345995965,[107.23586273   1.81020892],[100.23584747   1.80962503],[93.23584747  1.80904043],[86.33667755  1.80862141]
33,7.000022912535239,7.000000024411422,6.895416274071504,[106.45983124   1.8100816 ],[99.45980835  1.80949771],[92.45980835  1.80891311],[85.56439209  1.80846894]
34,7.000022912535353,7.000000024411422,6.891632096123924,[105.65621948   1.80996287],[98.65619659  1.80937898],[91.65619659  1.80879438],[84.76456451  1.8083241 ]
35,7.000022912565078,7.000000024411422,6.8878631771178584,[104.82495117   1.80985534],[97.82492828  1.8092711 ],[90.82492828  1.80868649],[83.93706512  1.80818939]
36,7.000022912565277,7.000000024411422,6.884086628769389,[103.96601868   1.80975854],[96.96599579  1.8091743 ],[89.96599579  1.8085897 ],[83.08190918  1.80806649]
37,7.000030541939262,7.000000024411422,6.880271933406994,[103.07933807   1.80967176],[96.07930756  1.80908775],[89.07930756  1.80850315],[82.19903564  1.80795562]
38,7.00003054194962,7.000000024411422,6.876480126079014,[102.16481018   1.80959535],[95.16477966  1.80901122],[88.16477966  1.80842662],[81.28829956  1.80785763]
39,7.0000381713542295,7.000000024411422,6.872665430391269,[101.22238159   1.80952775],[94.22234344  1.80894351],[87.22234344  1.80835891],[80.34967804  1.80777133]
40,7.000038171354329,7.000000024411422,6.8688507344723035,[100.25200653   1.80946767],[93.25196838  1.80888343],[86.25196838  1.80829883],[79.38311768  1.80769587]
41,7.000038171383888,7.000000024411422,6.865036038204095,[99.25371552  1.80941343],[92.25367737  1.80882883],[85.25367737  1.80824423],[78.38864136  1.80763018]
42,7.000038171373935,7.000000024411422,6.861213712213824,[98.22740173  1.80936241],[91.22736359  1.80877793],[84.22736359  1.80819333],[77.3661499   1.80757201]
43,7.000038171373935,7.000000024411422,6.857391385818392,[97.17305756  1.80931211],[90.17301941  1.80872762],[83.17301941  1.80814302],[76.31562805  1.80751896]
44,7.000038171383988,7.000000024411422,6.853569059098098,[96.09066772  1.80926037],[89.09062958  1.80867577],[82.09062958  1.80809116],[75.23706055  1.80746794]
45,7.000045800808341,7.000000024411422,6.849739102637797,[94.98021698  1.80920458],[87.9801712   1.80861962],[80.9801712   1.80803502],[74.13043213  1.80741644]
46,7.000045800818303,7.000000024411422,6.845901516583013,[93.84169006  1.80914247],[86.84164429  1.80855739],[79.84164429  1.80797279],[72.9957428   1.80736113]
47,7.000045800818204,7.000000024411422,6.842079189144747,[92.67513275  1.80907214],[85.67508698  1.80848706],[78.67508698  1.80790246],[71.83300781  1.80729973]
48,7.000045800828268,7.000000024411422,6.838264491029031,[91.48052979  1.80899262],[84.48048401  1.80840743],[77.48048401  1.80782282],[70.64221954  1.80723   ]
49,7.000045800828268,7.000000024411422,6.834449792936761,[90.25791168  1.80890322],[83.25786591  1.80831802],[76.25786591  1.80773342],[69.42341614  1.80715036]
50,7.0000534302127795,7.000000024411422,6.830627465583388,[89.00730133  1.80880439],[82.00724792  1.80821931],[75.00724792  1.80763471],[68.17662048  1.80706   ]
51,7.0000534302127795,7.000000024411422,6.826812767812255,[87.72880554  1.80869699],[80.72875214  1.80811191],[73.72875214  1.8075273 ],[66.90193939  1.80695879]
52,7.000061059587318,7.000000024411422,6.822998070203562,[86.42248535  1.80858171],[79.42242432  1.80799687],[72.42242432  1.80741227],[65.59942627  1.80684805]
53,7.000061059577459,7.000000024411422,6.819206260976885,[85.08827972  1.80846071],[78.08821869  1.80787599],[71.08821869  1.80729139],[64.26901245  1.80672908]
54,7.000068688971935,7.000000024411422,6.815418266585409,[83.72624207  1.80833614],[76.7261734   1.80775142],[69.7261734   1.80716681],[62.91075516  1.80660474]
55,7.000076318366411,7.000000024411422,6.81162645765412,[82.33641052  1.80821025],[75.33633423  1.80762553],[68.33633423  1.80704093],[61.52470779  1.80647719]
56,7.000083947760987,7.000000024411422,6.807838463490174,[80.91896057  1.80808473],[73.91887665  1.8075    ],[66.91887665  1.8069154 ],[60.11103821  1.80634916]
