,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4
0,7.000000000000008,7.000000000000008,7.000000000000008,[118.49940495   1.81227389],[111.49940497   1.8116893 ],[104.499405     1.81110471],[97.49940502  1.81052012]
1,7.000000024411422,7.000000024411422,6.999923730436333,[118.49638367   1.81227231],[111.49638367   1.81168771],[104.49638367   1.81110311],[97.49645996  1.81051886]
2,7.000000024411422,7.000000024411422,6.99880983879862,[118.48191071   1.81227136],[111.48191071   1.81168675],[104.48191071   1.81110215],[97.48310089  1.81051838]
3,6.999969506793725,7.000000024411422,6.996284509049302,[118.44976044   1.81226981],[111.44979095   1.81168568],[104.44979095   1.81110108],[97.45350647  1.81051934]
4,7.0001373529182604,7.000000024411422,6.993080163436802,[118.39656067   1.8122685 ],[111.39642334   1.81169105],[104.39642334   1.81110644],[97.4033432   1.81052375]
5,6.999847435032105,7.000000024411422,6.990097070254556,[118.32191467   1.81226647],[111.32206726   1.81169999],[104.32206726   1.81111538],[97.33197021  1.81053185]
6,6.999847434067083,7.000000024411422,6.98692324227032,[118.22557831   1.81226528],[111.2257309    1.81171083],[104.2257309    1.81112623],[97.23880768  1.81054115]
7,6.9998550623528,7.000000024411422,6.983734155497903,[118.10718536   1.81226325],[111.10733032   1.81172299],[104.10733032   1.81113839],[97.12359619  1.81055176]
8,6.999855061129206,7.000000024411422,6.980529809905901,[117.96656799   1.81226003],[110.96671295   1.81173587],[103.96671295   1.81115127],[96.98618317  1.81056345]
9,6.999855059769965,7.000000024411422,6.977264429168593,[117.80339813   1.81225467],[110.80354309   1.81174898],[103.80354309   1.81116438],[96.82627869  1.81057525]
10,6.999870317082914,7.000000024411422,6.973945642740918,[117.61737823   1.8122468 ],[110.61750793   1.81176198],[103.61750793   1.81117737],[96.64356232  1.81058609]
11,6.999885574363388,7.000000024411422,6.970611597525748,[117.40824127   1.81223571],[110.40835571   1.81177318],[103.40835571   1.81118858],[96.43774414  1.81059515]
12,6.999893202215096,7.000000024411422,6.967239405328179,[117.17568207   1.81222069],[110.17578888   1.81178212],[103.17578888   1.81119752],[96.2085495   1.81060207]
13,6.99991608886127,7.000000024411422,6.963806177974912,[116.91943359   1.81220067],[109.91951752   1.81178737],[102.91951752   1.81120276],[95.95571136  1.81060529]
14,6.999916087361926,7.000000024411422,6.960365321238299,[116.63922119   1.81217504],[109.63930511   1.81178796],[102.63930511   1.81120336],[95.67893982  1.81060374]
15,6.999916085936276,7.000000024411422,6.956863429336864,[116.33478546   1.81214285],[109.33486938   1.81178248],[102.33486938   1.81119788],[95.37800598  1.81059623]
16,6.99991608462386,7.000000024411422,6.953346278625672,[116.00588989   1.81210351],[109.00597382   1.8117696 ],[102.00597382   1.811185  ],[95.05262756  1.81058156]
17,6.999923712821197,7.000000024411422,6.949783351538525,[115.65229034   1.81205595],[108.65236664   1.81174815],[101.65236664   1.81116354],[94.70258331  1.81055844]
18,6.999931341165001,7.000000024411422,6.946174648053356,[115.27373505   1.81199968],[108.27380371   1.81171679],[101.27380371   1.81113219],[94.32762909  1.81052577]
19,6.999938969663585,7.000000024411422,6.942535426989693,[114.87001801   1.81193423],[107.87007904   1.81167448],[100.87007904   1.81108987],[93.92754364  1.81048214]
20,6.999946598338976,7.000000024411422,6.938873317692109,[114.44090271   1.81185901],[107.44095612   1.8116194 ],[100.44095612   1.8110348 ],[93.50208282  1.81042635]
21,6.999954227182601,7.000000024411323,6.935173061368804,[113.98618317   1.81177366],[106.98622894   1.81155074],[99.98622894  1.81096613],[93.05105591  1.81035757]
22,6.9999618561579915,7.000000024411024,6.931457546204578,[113.50566864   1.81167746],[106.50570679   1.81146812],[99.50570679  1.81088352],[92.57424927  1.81027544]
23,6.999977114701412,7.000000024411721,6.927803066123162,[112.9991684    1.81157196],[105.99919128   1.81137097],[98.99919128  1.81078637],[92.07138824  1.81017959]
24,6.999984743994639,7.000000024411422,6.924530055756527,[112.46715546   1.81145668],[105.46717072   1.81125927],[98.46717072  1.81067467],[91.54264069  1.81006932]
25,7.0000000028139775,7.000000024410925,6.920227077007793,[111.90843964   1.81133187],[104.90843964   1.81113338],[97.90843964  1.81054878],[90.98821259  1.8099463 ]
26,7.000015261805939,7.00000002441101,6.915443446375076,[111.32250214   1.811198  ],[104.32248688   1.81099248],[97.32248688  1.81040788],[90.40704346  1.80980861]
27,7.000015262188322,7.000000024411834,6.910324122375246,[110.70926666   1.81105638],[103.7092514    1.81083822],[96.7092514   1.81025362],[89.79892731  1.80965769]
28,7.000015262792597,7.000000024411323,6.904884363735861,[110.06864929   1.81090915],[103.06863403   1.8106724 ],[96.06863403  1.8100878 ],[89.16374969  1.80949605]
29,7.000030522419671,7.00000002441182,6.899017358975872,[109.40055847   1.81075788],[102.40052795   1.81049752],[95.40052795  1.80991292],[88.50151062  1.8093257 ]
30,7.000030523537323,7.000000024411323,6.892807031435336,[108.70487976   1.81060481],[101.70484924   1.81031597],[94.70484924  1.80973136],[87.81204224  1.80914903]
31,7.000038154345371,7.000000024411024,6.8862381223357065,[107.98159027   1.81045187],[100.98155212   1.8101306 ],[93.98155212  1.80954599],[87.09531403  1.80896878]
32,7.000038156107502,7.000000024411721,6.879371666853585,[107.2305603   1.8103019],[100.23052216   1.80994427],[93.23052216  1.80935967],[86.35115051  1.80878758]
33,7.000038158208675,7.000000024381564,6.872245811990756,[106.45179749   1.81015694],[99.45175934  1.80976033],[92.45175934  1.80917609],[85.57951355  1.80860877]
34,7.00003816058514,7.000000024381564,6.8651199572087815,[105.64541626   1.81002045],[98.64537811  1.8095839 ],[91.64537811  1.80899966],[84.78025818  1.80843616]
35,7.000053422003055,7.000000024381564,6.857986473062847,[104.81140137   1.80989516],[97.81134796  1.80941832],[90.81134796  1.80883408],[83.95336151  1.80827403]
36,7.00005342475738,7.0000000243915155,6.850830100831652,[103.94965363   1.80978155],[96.94960022  1.80926585],[89.94960022  1.80868149],[83.09877014  1.80812371]
37,7.0000610568407495,7.0000000244014675,6.843658469879701,[103.06015778   1.80967891],[96.06009674  1.80912793],[89.06009674  1.80854344],[82.21643829  1.80798709]
38,7.0000686887627745,7.000000024411422,6.836479209630059,[102.14281464   1.80958796],[95.14274597  1.80900574],[88.14274597  1.80842113],[81.30626678  1.80786502]
39,7.000068691014546,7.000000024411422,6.829284690640007,[101.19760895   1.80950844],[94.19754028  1.80889976],[87.19754028  1.80831516],[80.36825562  1.80775869]
40,7.000076322264909,7.00000002442138,6.822067283554335,[100.22444916   1.80943942],[93.22437286  1.80880976],[86.22437286  1.80822504],[79.4023056   1.80766714]
41,7.000083953004538,7.000000024431338,6.814842247133315,[99.22331238  1.80937886],[92.22322845  1.80873442],[85.22322845  1.80814958],[78.40838623  1.80758953]
42,7.00009158317221,7.0000000244512615,6.807609581378237,[98.19415283  1.80932462],[91.19406128  1.80867183],[84.19406128  1.80808675],[77.38645172  1.80752385]
43,7.000091583428434,7.000000024441299,6.800384544989551,[97.13702393  1.80927408],[90.13693237  1.80861855],[83.13693237  1.80803359],[76.33654785  1.80746818]
44,7.00010684196125,7.000000024441299,6.793144249783326,[96.05184937  1.80922401],[89.05174255  1.80857122],[82.05174255  1.80798626],[75.25859833  1.8074187 ]
45,7.000106841264808,7.000007653845837,6.785919213357275,[94.93862152  1.80917203],[87.93851471  1.80852675],[80.93850708  1.80794168],[74.15258789  1.80737209]
46,7.000114469689309,7.000007653845837,6.778678918082917,[93.79732513  1.80911505],[86.79721069  1.80848038],[79.79720306  1.8078953 ],[73.01852417  1.80732441]
47,7.000122097970807,7.000007653855703,6.771446252133316,[92.62798309  1.80905104],[85.62786102  1.80842876],[78.62785339  1.80784357],[71.85640717  1.8072722 ]
48,7.000129726201514,7.000007653845723,6.764236474296708,[91.43069458  1.80897784],[84.43056488  1.8083688 ],[77.43055725  1.80778372],[70.6663208   1.80721271]
49,7.0001373544877845,7.000015283240313,6.757019066995213,[90.2053833  1.8088938],[83.20524597  1.80829763],[76.20523071  1.80771255],[69.44821167  1.80714273]
50,7.000144982907011,7.00002291264474,6.749809289048202,[88.95217133  1.80879903],[81.95202637  1.80821443],[74.95200348  1.80762923],[68.20219421  1.80706108]
51,7.0001526115703525,7.00002291264474,6.742607140465784,[87.67099762  1.80869412],[80.67084503  1.80811834],[73.67082214  1.80753314],[66.92821503  1.80696702]
52,7.000152611111733,7.000022912644754,6.735427880107133,[86.36190033  1.8085804 ],[79.36174774  1.80801022],[72.36172485  1.80742502],[65.626297    1.80686045]
53,7.000167869726324,7.000022912644754,6.7282409903043,[85.02492523  1.80845976],[78.02475739  1.80789173],[71.0247345   1.80730653],[64.29649353  1.8067441 ]
54,7.000175499207958,7.00002291264474,6.721080803402405,[83.66020966  1.80833447],[76.66003418  1.80776536],[69.66001129  1.80718017],[62.93893051  1.80661964]
55,7.000206017116639,7.000022912614852,6.713924431217888,[82.26773071  1.80820668],[75.26752472  1.80763352],[68.26750183  1.80704868],[61.55357742  1.80648983]
56,7.000213646991918,7.000022912584981,6.706790947246797,[80.84762573  1.80807865],[73.84741211  1.80749965],[66.84738922  1.80691516],[60.1405983   1.80635762]
