,c1_c2,c2_c0,c0_c3,p1,p2,p3,p4
0,7.000000000000008,7.000000000000008,7.000000000000008,[104.499405     1.81110471],[118.49940495   1.81227389],[111.49940497   1.8116893 ],[97.49940502  1.81052012]
1,7.000000024411422,7.000000024411422,6.999923730436333,[104.49638367   1.81110311],[118.49638367   1.81227231],[111.49638367   1.81168771],[97.49645996  1.81051886]
2,7.000000024411422,7.000000024411422,6.998786950645044,[104.48202515   1.81110203],[118.48202515   1.81227124],[111.48202515   1.81168664],[97.48323822  1.81051791]
3,7.000000024411422,7.000000024411422,6.996482873465167,[104.44982147   1.81110227],[118.44982147   1.81227148],[111.44982147   1.81168687],[97.45333862  1.81051862]
4,7.000000024411422,7.000000024411422,6.99436953070235,[104.39674377   1.81110442],[118.39674377   1.81227362],[111.39674377   1.81168902],[97.40237427  1.81052661]
5,7.000000024411422,7.000000024411422,6.992057822645345,[104.32235718   1.81110191],[118.32235718   1.81227112],[111.32235718   1.81168652],[97.33029938  1.81054282]
6,7.000000024411422,7.000000024411422,6.989700337886312,[104.22619629   1.81109607],[118.22619629   1.81226528],[111.22619629   1.81168067],[97.23649597  1.8105607 ]
7,7.000000024411422,7.000000024411422,6.98735048221775,[104.10799408   1.81108809],[118.10799408   1.81225729],[111.10799408   1.81167269],[97.12064362  1.81058168]
8,7.000000024411422,7.000000024411422,6.984970108766148,[103.96755219   1.81107771],[117.96755219   1.81224692],[110.96755219   1.81166232],[96.98258209  1.81060505]
9,7.000000024411422,7.000000024411422,6.982574476403459,[103.80456543   1.8110646 ],[117.80456543   1.81223381],[110.80456543   1.8116492 ],[96.82199097  1.8106302 ]
10,7.000000024411422,7.000000024411422,6.9801254382379225,[103.61872101   1.81104803],[117.61872101   1.81221724],[110.61872101   1.81163263],[96.63859558  1.81065631]
11,7.000000024411422,7.000000024411422,6.977645882546412,[103.40973663   1.81102729],[117.40973663   1.81219649],[110.40973663   1.81161189],[96.43209076  1.81068242]
12,7.000000024411422,7.000000024411422,6.975151068256385,[103.17733765   1.81100202],[117.17733765   1.81217122],[110.17733765   1.81158662],[96.20218658  1.81070685]
13,7.000000024411422,7.000000024411422,6.972618107234574,[102.92124939   1.81097102],[116.92124939   1.81214023],[109.92124939   1.81155562],[95.94863129  1.81072879]
14,7.000000024411422,7.000000024411422,6.970054628990097,[102.64118958   1.81093419],[116.64118958   1.81210339],[109.64118958   1.81151879],[95.67113495  1.81074655]
15,7.000000024411422,7.000000024411422,6.967460633571663,[102.33691406   1.81089067],[116.33691406   1.81205988],[109.33691406   1.81147528],[95.36945343  1.81075883]
16,7.000000024411422,7.000000024411422,6.964843750415757,[102.00817871   1.81083989],[116.00817871   1.8120091 ],[109.00817871   1.81142449],[95.04333496  1.81076384]
17,7.000000024411422,7.000000024411422,6.9622116089181585,[101.65473938   1.81078088],[115.65473938   1.81195009],[108.65473938   1.81136549],[94.69252777  1.81076002]
18,7.000000024411422,7.000000024411422,6.959541320873035,[101.27635193   1.81071353],[115.27635193   1.81188273],[108.27635193   1.81129813],[94.31681061  1.81074524]
19,7.000000024411422,7.000000024411422,6.9568405156084685,[100.8727951    1.81063724],[114.8727951    1.81180644],[107.8727951    1.81122184],[93.91595459  1.8107183 ]
20,7.000000024411422,7.000000024411422,6.9541320812131815,[100.44384766   1.810552  ],[114.44384766   1.81172121],[107.44384766   1.8111366 ],[93.48971558  1.81067765]
21,7.000000024411422,7.000000024411223,6.951400758782492,[99.98930359  1.81045759],[113.98930359   1.81162679],[106.98930359   1.81104219],[93.03790283  1.8106221 ]
22,7.000000024411422,7.000000024411223,6.9486541775650545,[99.50894928  1.81035447],[113.50894928   1.81152368],[106.50894928   1.81093907],[92.5602951   1.81055033]
23,7.000000024411422,7.000000024411621,6.9459686313479985,[99.00262451  1.81024349],[113.00262451   1.81141269],[106.00262451   1.81082809],[92.05665588  1.8104614 ]
