,c1_c2,c2_c3,c3_c0
0,7.000000000000008,7.000000000000008,7.000000000000008
1,7.000000024411422,7.000000024411422,6.999923730436333
2,7.000000024411422,7.000000024411422,6.99880983879862
3,6.999969506793725,7.000000024411422,6.996284509049302
4,6.999900841945451,7.000000024411422,6.993553185796519
5,6.999885582929623,6.999992395017458,6.990455651855847
6,6.99989321213702,6.999992395017443,6.987258935978963
7,6.999900841238861,6.999992395007489,6.984092737866758
8,6.999908470342516,6.999992395006494,6.980873134022152
9,6.9999160994085585,6.999992394997536,6.977592495123376
10,6.9999313578242415,6.999992394997536,6.974258450527158
11,6.999938986829123,6.999992394997536,6.970901517824995
12,6.999946615792636,6.999992394996541,6.967521697019733
13,6.999969503538113,6.99999239499755,6.964080841119445
14,6.999969503105176,6.999992394986591,6.960601838300142
15,6.999977132070679,6.999992394976642,6.957084688538714
16,6.999977131629764,6.999992394986591,6.9535522799726115
17,6.999977131218339,6.999992394957745,6.949974095034618
18,6.999984760224751,6.999992394956751,6.946350133675041
19,6.999992389243793,6.999992394956751,6.9427032840864085
20,7.000000018308666,6.999992394957745,6.939033546203251
21,7.0000076474021125,6.99999239495766,6.935325661220599
22,7.000007647171993,6.999992394957248,6.93160251729167
23,7.000007647037312,6.999992394947007,6.927940408280842
24,7.000007646986567,6.999992394937166,6.924636880582636
25,7.000030535211803,6.9999923949274265,6.920478860357267
26,7.000045794110926,6.999992394937564,6.915809670435034
27,7.00006105312125,6.999992394937465,6.91053012874221
28,7.000076312237221,6.999984765532652,6.904884375858035
29,7.0000915714063385,6.99998476553295,6.898895299950536
30,7.0000915719069345,6.999984765532453,6.8926315656678465
31,7.000099201896602,6.99998476553305,6.8861160611570815
32,7.000106831923656,6.999984765552446,6.879386933521128
33,7.000114461978364,6.999984765552844,6.872444182869
34,7.000122092100487,6.999984765552844,6.865539579252442
35,7.000122092782341,6.999984765562772,6.858650234507638
36,7.000129722879392,6.999984765582564,6.851722742880009
37,7.0001297235141635,6.999984765602463,6.844779992649737
38,7.000129724108217,6.999984765642286,6.837821983796098
39,7.000129724597779,6.999984765652247,6.8308487163877505
40,7.000152613185033,6.99998476566221,6.823875449154807
41,7.000167872279419,6.999984765672289,6.816886923367834
