,point.objects.object0.color[0],point.objects.object0.color[1],point.objects.object0.color[2],point.objects.object1.color[0],point.objects.object1.color[1],point.objects.object1.color[2],point.objects.object2.color[0],point.objects.object2.color[1],point.objects.object2.color[2],point.objects.object3.color[0],point.objects.object3.color[1],point.objects.object3.color[2],point.params.EGO_SPEED,point.params.TIME_DELAY,rho
0,0.9402249886559084,0.9402249886559084,0.9402249886559084,0.22942895416474496,0.22942895416474496,0.22942895416474496,1.0,1.0,1.0,0.14191037732029524,0.10718407229356611,0.10718407229356611,3.2504200126649385,8.144834580881056,-0.003950563189986767
1,0.950282971904429,0.9390778125216581,0.9390778125216581,0.5982540982550322,0.5982540982550322,0.5982540982550322,0.7356114426605491,0.7356114426605491,0.7356114426605491,0.566622972660825,0.537124871099051,0.537124871099051,2.0,5.0,-0.013450622130088519
2,0.4175828906332645,0.4175828906332645,0.4175828906332645,0.5148972682534453,0.42988365066567324,0.42988365066567324,0.2461912511697202,0.23043802736946276,0.23043802736946276,0.30019124555550514,0.30019124555550514,0.30019124555550514,2.0,8.0741234833759,-0.017150867790128643
3,0.8164993288991236,0.8164993288991236,0.8164993288991236,0.9843906474793017,0.981125713334431,0.981125713334431,0.7467788954582424,0.7164160305612326,0.7082141280223515,0.45207940860262985,0.32748776316700723,0.32748776316700723,2.0,15.0,-0.014060970509360615
4,0.11789275230381523,0.10770849683204685,0.10770849683204685,0.5303326625349967,0.5303326625349967,0.5303326625349967,0.18933105930388605,0.3173072713516035,0.4992921177943014,0.6469721033518571,0.6404025586476567,0.6317991435614873,2.0,11.262905269223122,-0.015159604103462065
5,1.0,1.0,1.0,0.7819680983402053,0.3050120309813038,0.3050120309813038,0.7967267883986241,0.7967267883986241,0.7967267883986241,0.22793710682058702,0.22793710682058702,0.22793710682058702,2.0,7.724534073005511,-0.010749813225351623
6,1.0,1.0,1.0,0.0,0.0,0.0,0.37299408487076735,0.37107595604347476,0.37100595661802116,0.808699094429571,0.7260048004559734,0.6294172322474086,2.0,8.907520813236498,-0.016914357669108426
7,0.5204814893902535,0.5204814893902535,0.5204814893902535,0.21298391177940024,0.3031510415154539,0.6224952303169892,0.25759915869921923,0.32508639289679253,0.633787879459097,0.30780417634440443,0.4089948035500198,0.4592148030128808,2.0,13.35728371710294,-0.015243525531033697
8,0.3146675608041903,0.28866096272579556,0.7646962965978447,1.0,1.0,1.0,0.15939758879071425,0.13292100692287473,0.4973641126043414,0.9458730822441768,0.9458730822441768,0.9458730822441768,4.782392328045525,5.0,-0.013435360180245937
9,0.8797117430467715,0.6925062381191832,0.6925062381191832,0.26176045378339513,0.24237649496795072,0.24237649496795072,0.9120054613736068,0.9120054613736068,0.9120054613736068,0.958555225072153,0.958555225072153,0.958555225072153,3.3513206757437946,5.82039450305578,-0.008163431377051111
10,0.10859361676006439,0.10670384351629178,0.10423103470622934,0.2952348505917054,0.24421552923892315,0.222198818223313,0.3433916172841135,0.30120943066552064,0.29337515864554864,1.0,1.0,1.0,2.0,12.305068539438663,-0.015121456805260003
11,0.2945610754871636,0.4256221851993517,0.5341659099032637,0.7674276386592089,0.7817805258012488,0.7461538726300666,0.799420965567627,0.7989546195072499,0.7981466193976818,0.837412236365866,0.6906600791717536,0.37763494206605897,4.4438894742984925,15.0,-0.014831508663073478
12,0.5148996586262231,0.7754398346390544,0.3033423840910566,0.7789265556619751,0.39088696981515714,0.39088696981515714,0.8083466274484811,0.7866915553868464,0.7866915553868464,1.0,1.0,1.0,3.584545226544718,14.101844876135859,-0.020387646569147932
13,0.7988106099771388,0.7915772415571849,0.7915772415571849,0.9800755645104708,0.9800755645104708,0.9800755645104708,0.2863805556807542,0.2863805556807542,0.2863805556807542,0.19982251663023726,0.19982251663023726,0.19982251663023726,3.9561439685620385,12.591410853807396,-0.005577083979620312
14,0.030040050500298038,0.030040050500298038,0.030040050500298038,0.6565202234300261,0.639637986187742,0.6325568633335746,0.16044270543837946,0.16044270543837946,0.16044270543837946,0.2972490211924028,0.3018574130446315,0.2916120709427383,2.0,10.08305359232726,-0.017799370412294735
15,0.9697392864268202,0.9676118645967098,0.9676118645967098,0.4760152785957742,0.16168045558789612,0.16168045558789612,0.10538719632363348,0.10310516603491053,0.10310516603491053,0.2358760873456572,0.20136883336507036,0.19266104619271382,3.0629192072318956,14.571789916117055,-0.008399931450254527
16,0.23015437536030892,0.4981455198299565,0.3951669421436841,0.5831154161689146,0.5831154161689146,0.5831154161689146,0.2270679900206645,0.18860556416470436,0.18799188668740988,1.0,1.0,1.0,3.3910052938941027,5.0,-0.02791133417977054
17,0.9901370135273099,0.9886099778347172,0.9882389392202121,0.9407626951243814,0.9407626951243814,0.9407626951243814,0.6535110775135458,0.5805267735570127,0.5658897609584237,0.9039334155315049,0.9034115960353662,0.9024447541791536,3.428594183966868,10.4141957100327,-0.013183582762001933
18,0.8065940495297895,0.21945819845671866,0.21945819845671866,0.6999024268566788,0.7935324933431713,0.40644921836796444,0.6209342983060435,0.6204557363128528,0.6198751306644004,0.6848768553068545,0.2925789428193727,0.2925789428193727,3.376700824118629,5.0,-0.03404225870923128
19,0.435097347558852,0.6669501024644506,0.6251661456483727,0.13760873472370322,0.13760873472370322,0.13760873472370322,0.9580434622253143,0.9549096480183062,0.9549096480183062,0.293406652179286,0.2858317663204601,0.2858317663204601,3.368587652501093,5.0,-0.028762747606616124
20,0.8281016622879557,0.697910449390209,0.697910449390209,1.0,1.0,1.0,0.7495661149619759,0.7495661149619759,0.7495661149619759,0.28894081384861214,0.28894081384861214,0.28894081384861214,3.3815140342916443,5.0,-0.028018744815929253
21,0.376288657989309,0.38131325383289466,0.6471606376047441,0.2149119876844532,0.2149119876844532,0.2149119876844532,0.6251585319190484,0.6180213670913752,0.6172853542199209,0.8131333440712488,0.8131333440712488,0.8131333440712488,3.390436982861211,5.0,-0.00816343011880516
22,0.13551519499981896,0.13551519499981896,0.13551519499981896,0.22994002391126556,0.21015893643692124,0.19688328650018927,0.11067772098151835,0.11067772098151835,0.11067772098151835,0.5330039506253096,0.5330039506253096,0.5330039506253096,2.0,9.638080317945544,-0.01294707933469752
23,0.9006125304886669,0.8892658857210779,0.8892658857210779,0.25616232884888657,0.3971837262086759,0.40447767204119356,0.8628120808385837,0.6041587562432198,0.6041587562432198,0.27773373535112106,0.24642909024974607,0.24642909024974607,3.278766675343909,5.0,-0.02594738849264111
24,0.7519665064655172,0.5103345862250712,0.5103345862250712,0.6241876620545508,0.36878122325083396,0.19829052204336772,0.41257501538789876,0.3945057108772976,0.3867300216993613,0.43841497626684284,0.43841497626684284,0.43841497626684284,3.293943264642518,5.0,-0.01409145236075382
25,0.808342396748357,0.808342396748357,0.808342396748357,1.0,1.0,1.0,0.548713010238635,0.9233695804961617,0.5277325826461814,1.0,1.0,1.0,3.306296149630862,5.0,-0.027938793984090715
26,0.670608085429165,0.27161508147208885,0.21946008642016968,0.897376883915417,0.6474052006631683,0.4944695839592159,1.0,1.0,1.0,0.8989130553794613,0.879756484143051,0.8781321255343946,2.0,10.725411366277331,-0.017868030269229784
27,0.11491378104644477,0.11134128473119094,0.11134128473119094,0.9999999999999999,1.0,1.0,0.8414087909224324,0.5627146862340715,0.49130592253115446,0.7626478999585697,0.48304526956352245,0.4751800712939662,3.319201440380515,5.0,-0.008582963047983228
28,0.08621815668618302,0.08621815668618302,0.08621815668618302,0.531192946425038,0.4905007267333612,0.4905007267333612,0.639376899629152,0.639376899629152,0.639376899629152,0.336804788388637,0.3060427476143356,0.277052120115081,3.2944588759442723,5.0,-0.026077123829032267
29,0.29931865475757,0.2903437466266066,0.2787593097248505,0.5818352559486143,0.5739958308529745,0.5587823358283922,0.969484640127515,0.9648293837709061,0.9648293837709061,0.17172683597435046,0.6336880902071049,0.44803080875758017,3.2998104721857935,5.0,-0.028053208781207317
30,0.43430839200174387,0.43430839200174387,0.43430839200174387,0.8750990377015814,0.8750990377015814,0.8750990377015814,1.0,1.0,1.0,0.4901903783201235,0.4901903783201235,0.4901903783201235,3.298893684759434,5.0,-0.026138141619519217
31,0.6688645969714189,0.657249421453597,0.6567485364242496,0.9155410489327456,0.9155410489327456,0.9155410489327456,0.9697790515719518,0.9697790515719518,0.9697790515719518,0.8041369663786908,0.7701796011166475,0.7313331533370246,3.304929565025727,5.0,-0.025611816439737645
32,0.46351775350557434,0.6785136193774357,0.671926267598537,0.416231782116699,0.416231782116699,0.416231782116699,0.37932599992112936,0.3906017829025448,0.7283224611034029,1.0,1.0,1.0,3.268551439759225,15.0,-0.007446271806604621
33,0.8535759216269055,0.5133998179364981,0.5133998179364981,0.8224006537128813,0.8090862354527019,0.7760100231812362,0.04265604167723566,0.04265604167723566,0.04265604167723566,0.752277968312249,0.752277968312249,0.752277968312249,2.940164413469061,13.59113946850757,-0.013542174469963086
34,0.920725246799615,0.9138017433490867,0.8881859781574013,0.9338545566577329,0.9338545566577329,0.9338545566577329,0.48208252127818924,0.4453513874821872,0.4453513874821872,0.5171174271526014,0.5171174271526014,0.5171174271526014,3.318309350521014,5.0,-0.011123550413207894
35,0.23855631456268034,0.20087876344442984,0.3685236412402824,0.6962277826394415,0.40296876968132744,0.15228118050127393,1.0,1.0,1.0,0.7937622465828954,0.2663857014210404,0.1751500841506427,3.3062094641980715,5.0,-0.026709899422311167
36,0.5106607228754817,0.4526648421656799,0.7206683810784799,0.6733864369351314,0.4500368985662411,0.4500368985662411,0.7873862648086021,0.36211425427163757,0.36211425427163757,0.6280481977144847,0.5441692533130902,0.3432155139648432,3.30972938005927,5.0,-0.00835416829647695
37,0.15233777526507636,0.15233777526507636,0.15233777526507636,0.5461133879874592,0.5359980995201911,0.5068384279111687,0.5369220924054952,0.45571572973772245,0.45571572973772245,0.654033381639689,0.654033381639689,0.654033381639689,3.2961018616136726,5.0,-0.01460255608885408
38,0.6531127419305839,0.6255280283090627,0.6059981677672092,0.09321659128012835,0.08811856289900824,0.08811856289900824,0.0,0.0,0.0,0.6135067306445241,0.5637823294278923,0.5637823294278923,2.0,10.616401846904843,-0.018035875308624938
39,0.9998331985481966,0.9997396190040299,0.9997396190040299,0.2232178360078616,0.2232178360078616,0.2232178360078616,0.5446091397776819,0.4866561435270659,0.4866561435270659,0.34903939933580913,0.2786094173090107,0.2666659526806027,3.3182941600591422,5.0,-0.027213831263882327
40,0.6517937267906457,0.5808908543046251,0.49853843936409103,0.5887706728709938,0.5887706728709938,0.5887706728709938,0.6027756435585494,0.6027756435585494,0.6027756435585494,0.8237159432346248,0.6182723270486652,0.2052763777437765,2.432009670499216,11.406102629352807,-0.01721954334238429
41,0.7743614498137875,0.74982192498761,0.38482061386415134,0.5737896458145374,0.5737896458145374,0.5737896458145374,0.9228942406676949,0.9228942406676949,0.9228942406676949,0.7457491922938212,0.7395851332369153,0.7388764553172852,3.3255110523239875,5.0,-0.015098539345238748
42,0.9901524092626821,0.9896516012375898,0.9895583875523906,0.6971433689480876,0.6971433689480876,0.6971433689480876,1.0,1.0,1.0,0.8319835608701528,0.8319835608701528,0.8319835608701528,3.3255470771492224,5.0,-0.01749796290965744
43,1.0,1.0,1.0,0.6860692185525694,0.7096937603636498,0.6749061211349344,1.0,1.0,1.0,0.5690798932720356,0.5285162158675178,0.5285162158675178,2.0,10.479039822723383,-0.017784108039552216
