,point.objects.object0.color[0],point.objects.object0.color[1],point.objects.object0.color[2],point.objects.object1.color[0],point.objects.object1.color[1],point.objects.object1.color[2],point.objects.object2.color[0],point.objects.object2.color[1],point.objects.object2.color[2],point.objects.object3.color[0],point.objects.object3.color[1],point.objects.object3.color[2],point.params.EGO_BRAKING_THRESHOLD,point.params.EGO_SPEED,rho
14,0.8891367490010402,0.8891367490010402,0.8891367490010402,0.09436095927858035,0.26055723594972047,0.18378396413469902,0.7116425099656377,0.728078327063491,0.6612745785592022,0.2586615446408498,0.6568421677418984,0.5105990989030612,12.330315259406897,20.215895209366224,0.5083747578314437
15,0.9655457804672104,0.9670471534103556,0.9619757263056251,0.22832338698821406,0.20030683347768788,0.19060837249673288,0.7778498610409895,0.7778498610409895,0.7778498610409895,1.0,1.0,1.0,7.405961474818801,15.51492791528561,1.0
16,0.7609833321546398,0.47917320164559907,0.40225141735353653,0.8285069709656784,0.8285069709656784,0.8285069709656784,0.9753790961192006,0.9753790961192006,0.9753790961192006,0.7750365120117411,0.7750365120117411,0.7750365120117411,5.256405332561962,3.0003227217212647,0.4361978006644627
17,0.5861570572157916,0.9179735827320918,0.33299244520138127,0.45091590939516196,0.37582017573173326,0.3569591136022215,0.6763092610414183,0.5795339289647172,0.5795339289647172,1.0,1.0,1.0,13.538356904669413,12.556546277950076,0.2118504373636645
18,0.9881729305370769,0.9870635134135072,0.9870110449971733,0.8668671326364845,0.8659095300840995,0.8581887000391863,0.36961187732845646,0.53100313104795,0.5972777797012004,0.08747945831321065,0.08747945831321065,0.08747945831321065,12.09271997523946,28.024043077373417,0.4216094830919932
19,0.6140708312105886,0.3897102855710507,0.3897102855710507,0.7228017775233011,0.6776221187507377,0.6639016752995734,0.5235594140033593,0.5178665012810585,0.6967657999243865,0.841771649374133,0.8623926708916229,0.7635885705088542,9.585997621265022,29.70886087277809,0.5121630710083025
20,0.09564186324603095,0.06569441455201015,0.06569441455201015,1.0,1.0,1.0,0.5476795824651081,0.5476795824651081,0.5476795824651081,0.5965928606019324,0.32103009715333874,0.28250476305375527,5.055640540543193,28.058504081155768,1.0
21,0.6649720216411701,0.6239475131771381,0.6239475131771381,0.9673317545007704,0.9673317545007704,0.9673317545007704,0.8134396469384033,0.7988562648904094,0.7988562648904094,0.5960522311722275,0.4795759964776304,0.4795759964776304,13.9766633198628,5.108126988220627,0.5135935526881337
22,0.7717065434635938,0.12586594917295413,0.12586594917295413,0.9999999999999999,0.9999999999999999,1.0,0.4468176040749431,0.3206243074942604,0.6792126621071136,0.5318356318752095,0.6434876366305302,0.7450885709062507,6.761136712513092,16.453214269432863,0.45027090649559565
23,0.5947318409886342,0.5820875395763437,0.5446659640384433,0.878409141817482,0.878409141817482,0.878409141817482,0.8181511496804551,0.8155948516057825,0.7991231889812037,0.9882087161675485,0.9882087161675485,0.9882087161675485,5.029921185725472,7.680602585879252,0.4495739736570794
24,0.7787605620096286,0.7787605620096286,0.7787605620096286,0.22488245307840066,0.22415746723389546,0.2214777946569837,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,12.767145525824564,4.436443963615039,1.0
25,1.0,1.0,1.0,0.352298566930104,0.352298566930104,0.352298566930104,0.9776984002388056,0.9727302113255474,0.9727302113255474,0.8596408955893223,0.6637865785117091,0.6637865785117091,8.310656654564148,28.612505485127496,0.44358530218621706
26,0.9690893904251967,0.9452968934099384,0.9452968934099384,0.9001844556220713,0.9001844556220713,0.9001844556220713,0.7554414134001373,0.4228571366296201,0.4228571366296201,0.7768729619107851,0.7199868156884285,0.6813556140051814,6.239131936987331,15.51090297985605,0.4698460898668353
27,1.0,1.0,1.0,0.3542727729913231,0.4519820672675683,0.5702163396817114,0.7878710243099291,0.7878710243099291,0.7878710243099291,0.19076240950412302,0.19076240950412302,0.19076240950412302,9.7365943563195,26.622350863351834,0.7546348663173221
28,0.6326639399238467,0.6326639399238467,0.6326639399238467,0.3845506053138953,0.3845506053138953,0.3845506053138953,0.06702569934473684,0.05789408018905774,0.056544719083437556,0.7413883068565263,0.7413883068565263,0.7413883068565263,9.836455479226078,19.16508309951418,0.5057696289690625
29,0.163635524568017,0.15059551939087784,0.15059551939087784,0.7128306856750278,0.7128306856750278,0.7128306856750278,0.7770844472682934,0.7713021406582377,0.7713021406582377,0.5157476786000309,0.5157476786000309,0.5157476786000309,10.052031761180109,28.449777566604368,0.5133073137503086
30,0.6308248447042722,0.5590561543567019,0.43735811853754847,0.854813012843418,0.854813012843418,0.854813012843418,0.7735765326549501,0.634309474138407,0.26071384817900733,0.08446325829002993,0.08027166236440726,0.07921412490377816,11.703321505406754,16.98520976637963,1.0
31,0.16851261183548402,0.15919859685203366,0.15919859685203366,0.6314525715128801,0.6269388687915339,0.5778700321271611,0.7967133939825193,0.6084502573116636,0.274747905552154,0.6363316917698221,0.5753985422249324,0.4198908495866531,5.367834193682468,22.5826965484893,1.0
32,0.6301955476142732,0.6301955476142732,0.6301955476142732,0.4076595914939577,0.4076595914939577,0.4076595914939577,0.5248105189168943,0.21750858463091913,0.20698437423428095,0.901013507056282,0.8436792195787053,0.8331544549946043,5.116374149877179,10.490482899302844,0.4401817530372911
33,0.4984145412705995,0.4958395086612595,0.48719913615680854,0.6574941403628918,0.6470596268033133,0.6470596268033133,1.0,1.0,1.0,0.6111998337050424,0.4133926511899442,0.3971003929197494,13.206706619625152,25.59167487145409,0.43055523470509005
34,0.9720707377898774,0.9720707377898774,0.9720707377898774,0.753743745377885,0.7264588249314383,0.7156711112509182,0.9915182449263007,0.9877860133482754,0.9877860133482754,0.5953217422424711,0.41153923775128554,0.41153923775128554,6.764189056282266,19.91174679777868,1.0
35,0.1864483652627843,0.16813920361834106,0.1290207119032074,0.3097239632256594,0.3097239632256594,0.3097239632256594,0.847153402150473,0.843410413224329,0.8370761339305515,0.5020281913923432,0.48541344243332196,0.48541344243332196,12.055784107028849,28.143034560518537,0.5077608680466081
36,1.0,1.0,1.0,0.308879891088428,0.29320517892465314,0.5943347262852563,0.9139902634507293,0.8873415878760059,0.7655017156430852,0.8385069118991301,0.8385069118991301,0.8385069118991301,6.856176424527284,14.381477700474308,1.0
