,c1_c2,c2_c0,c0_c3,p1,p2,p3,p4
0,7.000000000000008,7.000000000000008,7.000000000000008,[104.499405     1.81110471],[118.49940495   1.81227389],[111.49940497   1.8116893 ],[97.49940502  1.81052012]
1,7.000000024411422,7.000000024411422,6.999923730436333,[104.49638367   1.81110311],[118.49638367   1.81227231],[111.49638367   1.81168771],[97.49645996  1.81051886]
2,7.000000024411422,7.000000024411422,6.998786950645044,[104.48202515   1.81110203],[118.48202515   1.81227124],[111.48202515   1.81168664],[97.48323822  1.81051791]
3,7.000000024411422,7.000000024411422,6.996482873465167,[104.44982147   1.81110227],[118.44982147   1.81227148],[111.44982147   1.81168687],[97.45333862  1.81051862]
4,7.000000024411422,7.000000024411422,6.99436953070235,[104.39674377   1.81110442],[118.39674377   1.81227362],[111.39674377   1.81168902],[97.40237427  1.81052661]
5,7.000000024411422,7.000000024411422,6.992111228388614,[104.32240295   1.81110168],[118.32240295   1.81227088],[111.32240295   1.81168628],[97.33029175  1.81054282]
6,7.000000024411422,7.000000024411422,6.989753743611154,[104.22624207   1.8110956 ],[118.22624207   1.8122648 ],[111.22624207   1.8116802 ],[97.23648834  1.8105607 ]
7,7.000000024411422,7.000000024411422,6.987403887927415,[104.10803986   1.81108737],[118.10803986   1.81225657],[111.10803986   1.81167197],[97.12063599  1.81058168]
8,7.000000024411422,7.000000024411422,6.985015885068066,[103.96760559   1.81107676],[117.96760559   1.81224597],[110.96760559   1.81166136],[96.98258972  1.81060505]
9,7.000000024411422,7.000000024411422,6.982597364512763,[103.80462646   1.81106341],[117.80462646   1.81223261],[110.80462646   1.81164801],[96.82202911  1.8106302 ]
10,7.000000024411422,7.000000024411422,6.980155955722711,[103.61880493   1.81104636],[117.61880493   1.81221557],[110.61880493   1.81163096],[96.63864899  1.81065631]
11,7.000000024411422,7.000000024411422,6.977691658819562,[103.40985107   1.81102538],[117.40985107   1.81219459],[110.40985107   1.81160998],[96.43215942  1.81068242]
12,7.000000024411422,7.000000024411422,6.9751892151285535,[103.17746735   1.81099963],[117.17746735   1.81216884],[110.17746735   1.81158423],[96.20227814  1.81070685]
13,7.000000024411422,7.000000024411422,6.972656254121029,[102.92140198   1.81096852],[116.92140198   1.81213772],[109.92140198   1.81155312],[95.94874573  1.81072879]
14,7.000000024411422,7.000000024411422,6.970100405281049,[102.64138794   1.81093132],[116.64138794   1.81210053],[109.64138794   1.81151593],[95.67128754  1.81074655]
15,7.000000024411422,7.000000024411422,6.967506409878693,[102.3371582    1.81088746],[116.3371582    1.81205666],[109.3371582    1.81147206],[95.36965179  1.81075883]
16,7.0000000244014675,7.000000024411422,6.964904785533728,[102.00846863   1.81083632],[116.00846863   1.8120054 ],[109.00846863   1.81142092],[95.04356384  1.81076384]
17,7.0000000244014675,7.000000024411422,6.962265014669753,[101.65505981   1.81077719],[115.65505981   1.81194627],[108.65505981   1.81136179],[94.6927948  1.8107599]
18,7.0000000243915155,7.000000024411422,6.959602356047865,[101.27671814   1.8107096 ],[115.27671814   1.81187856],[108.27671814   1.8112942 ],[94.31711578  1.81074524]
19,7.000007653785494,7.000000024411422,6.956916809607464,[100.87319946   1.81063306],[114.87320709   1.81180203],[107.87319946   1.81121767],[93.91628265  1.81071854]
20,7.000007653776538,7.000000024411422,6.954216004635992,[100.44429779   1.81054771],[114.44430542   1.81171656],[107.44429779   1.81113231],[93.49008179  1.81067789]
21,7.000007653775543,7.000000024411721,6.95148468222815,[99.98978424  1.81045341],[113.98979187   1.81162226],[106.98978424   1.81103802],[93.03829956  1.81062233]
22,7.00000765378548,7.000000024411621,6.948715212850498,[99.50946045  1.81035018],[113.50946808   1.81151915],[106.50946045   1.81093478],[92.56074524  1.81055057]
23,7.00000765378548,7.000000024411522,6.946029666647869,[99.00314331  1.81023932],[113.00315094   1.81140828],[106.00314331   1.81082392],[92.05711365  1.81046176]
